
joy , During the period of falling in love 
disgust   ,   Students on campus were unnecessarily creating trouble just to dheckle the authorities - not to achieve something concrete   
shame   ,   I had reacted angrily at a friend for no fault of his.   
guilt   ,   I had promised to send something to a friend and it completely dslipped my mind.   
joy   ,   This is one feeling I never betray   
fear   ,   A few weeks back I had a very important seminar and I had dcirculated my papers to all the panel members.   
danger   ,   A few days back a friend of mine poked me in the ribs for fun's dsake   
sadness   ,   The saddest moment in my life was when I lost my younger sister a dfew years back.   
disgust   ,   Yesterday   
shame   ,   Yesterday while playing volley ball   
guilt   ,   A few days back a friend of mine had asked me to call on him on dSunday.   
joy   ,   When I got my B.   
fear   ,   Before the declaration of the S.   
danger   ,   When I was punished in school for no serious mistake of mine.   
sadness   ,   When I received the S.   
C results   ,    the marks I obtained were dnot up to my expectations and I missed admission in engineering.   
disgust   ,   When I could not attend the college picnic due to some ddifficulties.   
shame   ,   When I was detained one day in school   
guilt   ,   One day at school I had quarrelled with a school-mate   
  He   ,    being physically weak had to dvisit his doctor and remain absent from school for two days.   
joy   ,   This happened when I was in the 10th standard.   
fear   ,   At the age of 16 I had gone to see a film in a nearby village   
danger   ,   One day my room-mate started imitating me   
sadness   ,   A few months a close relative of mine died.   
disgust   ,   One day   
 shame   ,   A few months back I had gone to my friend's place and they offered dme tea and coffee.   
guilt   ,   At my native place I was riding my cycle   
joy   ,   After my graduation exams I was waiting to get admitted to a post dgraduation course   
  Suddenly   ,    Bombay university offered me a dseat and I landed up in Bombay for my post graduation studies.   
fear   ,    Never experienced.   
danger   ,   This was the worst incident of my hostel life.   
sadness   ,    When I feel that I have made a mistake.   
disgust   ,    Never experienced.   
shame   ,    Never experienced.   
guilt   ,    Never experienced.   
joy   ,   When I got my B.   
fear   ,   I received a letter from my college telling me that I would not dbe allowed to sit for the exams because of my low attendance in dclass and the bad experience in the terminal exams.   
danger   ,   Once a friend had pushed me and I had fallen on to a window which dthen broke.   
sadness   ,   When I received my S.   
disgust   ,   Once when I was studying for my examination   
shame   ,   My teacher asked me a question which I failed to answer and I was dtold to stay behind after the class and give the answer after dstudying it from a book.   
guilt   ,   During class one day I walked out of the class.   
joy   ,   When I passed the 12th standard board exams.   
fear   ,   My illness a few years back.   
danger   ,   During the short period of my unemployment about six years back.   
sadness   ,   My father's death in January 1983 moved me deeply.   
disgust   ,    No response.   
shame   ,   When I was 12 years old I was caught by the Ticket Collector when dtravelling without a ticket.   
guilt   ,   A few lies that I had indulged in   
joy   ,   After having finished my B.   
Sc   ,    I was struggling hard to continue dmy studies and had taken the M.   
fear   ,   When I did not get admission in M.   
Sc   ,    I felt really dbad.   
 danger   ,   When I was dancing with a dame at a social   
sadness   ,   When a close friend   
disgust   ,   After my +2   
shame   ,   When I was in the 12th standard   
  One dday   ,    while  talking with my relatives I used a wrong word and  dmy cousin corrected me   
guilt   ,   When I got low marks in the final year B.   
Sc exams   ,    I felt guilty das I had not worked hard because I had been roaming around with my d friends.   
joy   ,   I was doing an experiment and was not getting the appropriate dresult despite the fact that I had repeated the procedure 4-5 dtimes.   
fear   ,   Once I was very frightened at night as I had a very fearful and dterrifying dream   
danger   ,   Once I had an argument with my friends and I knew that I was dright.   
sadness   ,    No response.   
disgust   ,   My elder sister forced me to do a few things which I did not like to do.   
shame   ,   Once I had torn a few pages off a library book and I felt ashamed dat this.   
guilt   ,    No response.   
joy   ,   When I realized that I loved someone of the opposite sex.   
fear   ,   After I was thrown out of a car in an accident   
danger   ,    During my childhood when I could not get what I wanted from my dbrother/sister and parents.   
disgust   ,   I felt disgusted when I was in a helpless position at the loss of dmy fiancee.   
shame   ,   The day my fiancee told me that it was bad that I could not write dmy mother tongue.   
guilt   ,   I felt guilty when I thought that I was still not standing on my down feet.   
joy   ,   The way this particular girl spoke   
fear   ,    Never.   
danger   ,    Ther are many instances which are all equally irritating.   
sadness   ,   When a girl did not answer a question   
disgust   ,    There have been very few instances of disgust   
shame   ,    I was not   
guilt   ,    Never felt guilty   
joy   ,   I most joyous moment was the day I got my marks.   
guilt   ,   I was travelling in a bus from school going home for holiday.   
joy   ,   When my brother was selected to the University of Malawi the dPolythecnic.   
fear   ,   On May 20th I got a summon to appear in court on May 28th 1985 on dthe subject of impregnanting a school girl.   
danger   ,   Sometime ago I felt very angry when my mother wrote me telling me dthat my elder sister was messing up things at home by her dinternalised aggressive attitude towards parents and her husband.   
sadness   ,   I felt very sad when I was in Form three to notice that my friend dBarley Jumbe   
disgust   ,   Four weeks ago I felt very much touched to find an asciatic dpatient who had asked the very morning to be tapped of the fluid   
shame   ,   Truely   
guilt   ,   Guilt conscious struck me when I failed my Standard Two dExaminations in 1972.   
joy   ,   After sitting for the Standard 8 Exams for the second time in d1979   
fear   ,   I had a cousin whom I loved so much.   
danger   ,   Somebody wanted to beat my brother at a wedding ceremony and I dwas trying to protect my brother but the other man was calling dnames to both of us.   
sadness   ,   I never failed my examinations since Standard 1 but I experienced dsad moments when I sat for Standard 8 Examination and I was not dselected for Secondary School education in 1978.   
disgust   ,   I had experienced odd moments one time when a patient came into dthe Ward in which I was working.   
shame   ,   When I was young I was playing football near my parent's house dand while playing I fell on the ground.   
guilt   ,   I had been on friendship with a certain girl for sometime and the dlove was going on well   
joy   ,   I was emotionally happy when I was in love with the girl I had dlonged for.   
fear   ,   I once felt that my last hour had come when I was unexpectedly found din the hands of.   
danger   ,   It happened that my brother promised to give me money for school dand then he told me that he had failed to fulfil his promise a dday before school started.   
sadness   ,   I was all of the sudden sad when I heard that my cousin who dusually paid school fees had passed away after a very short dillness.   
disgust   ,   The first day I visited the hospital I was disgusted because I dexperienced offensive smell which I never expected.   
shame   ,   I once felt shame when I failed to fulfil the promise to marry a ddaughter of a certain gentleman.   
guilt   ,   I felt guilty when I was robbed of a friend's radio at Lilongwe dbus depot after promising that I would keep it safe.   
fear   ,   When I heard a rumour that the 1st year exam results were out.   
danger   ,   Somebody was blaming me of a story which was not real and not dtrue.   
sadness   ,   Death of my grnadfather after having been in hospital for so long dwith cancer of the Oesophagus.   
disgust   ,   When mum had beaten my young sister just because she had received da letter from a boyfriend.   
shame   ,   When I had not done well in Geography at my MCE I was expected to dget more than I did.   
guilt   ,   When a patient had died soon after I had told the guardian to dwait outside the ward.   
joy   ,   When I passed my Primary school leaving certificate and selected to go to a Boarding secondary school.   
fear   ,   When I was feeding a premature baby 7 months   
danger   ,   We were just about to go into the Exam room and I didn't see all dmy writing materials plus the identification card from the place dwhere I left them.   
sadness   ,   When my boyfriend did not turn up in time as he promised he would dbe coming.   
disgust   ,   The time when I cleaned the house and everything was tidy   
disgust   ,   Bad temper of the serving lady in the students' dining hall.   
shame   ,   Teacher suspected me stealing money.   
guilt   ,   Failed to do what I had promised.   
joy   ,   Saw on TV China winning the gold medals.   
fear   ,   Staying in the room alone at night.   
danger   ,   An old lady slipped and nobody helped her.   
sadness   ,   A friend's mother died.   
disgust   ,   Saw a dirty street.   
shame   ,   Not collecting homeworks in time to give the teacher.   
guilt   ,   Not helping other people to do their homework.   
joy   ,   Made a wonderfull new friend.   
fear   ,   My friend started to misunderstand and hurt me.   
danger   ,   Insulted by disgusting people.   
sadness   ,   My friend was badly hurt.   
disgust   ,   Someone not responding to my criticism.   
shame   ,   Swearing in public.   
guilt   ,   Hurt someone's feelings unintentionally.   
joy   ,   When you told everyone in the last lecture you will do all dlectures again in English and everybody can come not only English classesfear   
danger   ,   My class leader told me I am not chosen for your English dlectures.   
sadness   ,   Finding out that the university will give first priority to dqualified practioners and clinical years to go to your English dlectures.   
disgust   ,   Finding out that old and useless practitioners of retirement age dwill go to your English lectures and they do not understand English.   
shame   ,   China cannot give your lectures bigger place and sound system.   
guilt   ,   I am not good enough for your experiment I am doing.   
joy   ,   Winning a game after a long time of losing.   
fear   ,   Almost had a bicycle accident.   
danger   ,   People not cueing in the dining hall.   
sadness   ,   Failed an examn.   
disgust   ,   Saw a real party leader.   
shame   ,   Failed to recagnize a friend on the street.   
guilt   ,   Forgot to collect post for a friend.   
joy   ,   Being chosen to do your experiment with aphasia.   
fear   ,   You may find out that I am stupid and not to let me do your dexperiment.   
danger   ,   A classmate told me I must have bribed the class leader to let me dgo to your English lecture.   
sadness   ,   I was not chosen for the All English class.   
disgust   ,   Saw my class leader acting like a God when he chose people to go to your English lectures.   
shame   ,   Talking to friends about how old you are and we cannot be as dsuccessful as you at your age.   
guilt   ,   Telling friends about your nickname.   
joy   ,   I got better marks in the examn than many arrogant people.   
fear   ,   Before the examn.   
danger   ,   Insulted by some stupid people.   
sadness   ,   Lost a friend.   
disgust   ,   Hear people talking at my back.   
shame   ,   Saw something stupid and ignorant happening in the countryside.   
fear   ,   I was very scared when I went to the examination hall for my M.   
danger   ,   I was most angry when India lost the Triangular Cricket trophy dheld in Australia.   
sadness   ,   I was very sad  when I got the XIIth standard results   
disgust   ,   I was disgusted at myself when I dropped a vital catch   
 shame   ,   There is one thing which makes me feel shameful   
guilt   ,   I felt guilty when I read an advertisement for a job as a chemist din the newspaper and when my friend asked me if I had applied for dthat job   
joy   ,   When I got my first unknown compound while doing my M.   
Sc dresearch   ,    I was very happy.   
fear   ,   I was very scared at the time of the Ty.   
danger   ,   When my neighbours accused my brother of stealing their drose-bush   
sadness   ,   When I heard that my girlfriend was getting married to another dperson   
disgust   ,    No response.   
shame   ,   When I had insulted my father two years back   
guilt   ,   I felt very guilty when I tried to teach swimming to my younger dbrother   
joy   ,   This happened a year when I was having a hard time   
fear   ,   It was the time when I was in no position to secure a Ist class din the M.   
danger   ,   I missed an opportunity to go abroad because of some silly dmistakes for which I had to suffer a lot.   
sadness   ,   It was at the time of my M.   
Sc exam   ,    when I was not in a position to take the exam after having studied seriously.   
disgust   ,   When I opted for my research field   
shame   ,   When I was not in a position to control myself.   
guilt   ,   Two days after the above incident   
joy   ,   When I got the first compound through column.   
fear   ,   When I did not get the compound which is known.   
danger   ,   When I got low marks in B.   
sadness   ,   When my first love was not successful.   
disgust   ,    When mix was coming from column for several days.   
shame   ,   When I had been angry at my friend without any reason.   
guilt   ,   When I forced a close friend of mine to ask a girl things about dherself.   
joy   ,   It was about a fortnight ago   
fear   ,   When I was a kid   
danger   ,   This also happened when I was very small.   
sadness   ,   After studying a lot for my H.   
C exams   ,    I could not make it to dthe medical stream and I felt sad about this.   
disgust   ,    Honestly   
shame   ,    Sorry   
guilt   ,    I can positively say that I have never done anything that made dme feel guilty.   
joy   ,   When I got admission in M.   
fear   ,   When I came to know that my exams were on two successive days and dthat there was very little time about 9-10 hours to study in dbetween.   
danger   ,   I was very angry when my friend lost my practical's journal   
sadness   ,   I was very sad when I did not get admission in the English dcollege   
disgust   ,   I was disgusted when our cricket team manager dropped me from the dteam.   
shame   ,   I was ashamed at myself when I saw that the other boys and girls   dof my age earn a lot of money by doing very good and hard work.   
 guilt   ,   I felt very guilty when a student   
joy   ,   When I passed the TOEFEL with very good marks.   
fear   ,   When I was going to take the practical exams.   
danger   ,   When I was teased by my friend for not scoring good marks in the dexams.   
sadness   ,   When I was ditched by my girlfriend.   
disgust   ,   When I lost the notes of the lecturer I had borrowed from my dfriend.   
shame   ,   When I was teasing a girl   
guilt   ,   When I was bluffing in front of my mother to get more money.   
joy   ,   The moment I got the news that I had been selected for the U.   
fear   ,   My brother lost his temper and started smashing things in the dhouse.   
danger   ,   I wanted to go to Bhopal for relief work gas tragedy.   
sadness   ,   A friend of mine was hospitalized after having been diagnosed as dhaving typhoid   
disgust   ,   There was a family fight in my house some time back.   
shame   ,   I had written a love-letter to a class-mate of mine   
guilt   ,   My friend had written a letter to me   
joy   ,   I have a girlfriend   
fear   ,   While I was pushing a court roller out of a ditch   
danger   ,   I was the compere at a party and all my efforts to get the show drolling were thwarted by the immobile   
sadness   ,    No response.   
disgust   ,   A railways officer   
shame   ,    I am quite shameless   
guilt   ,    Not applicable.   
joy   ,   When I was successful at my work I was full of joy.   
fear   ,   When I was treated improperly by someone.   
danger   ,    When bad and disgusting language is uttered by people   
sadness   ,    I missed my twin when I was on the verge of being thrown   
disgust   ,   When Kanishka was blown up   
shame   ,    No response.   
guilt   ,    No response.   
joy   ,   When I received the best actor award at the inter-college drama dcompetition.   
fear   ,   When my mother met with a serious accident and there was danger dthat she would not survive and if she did she would loose dher memory.   
danger   ,   When an acquaintance of mine beat up another person for no just dreason   
sadness   ,   When a friend of mine died in a hiking accident.   
disgust   ,    Do not remember any incident.   
shame   ,    Do not remember any incident.   
guilt   ,    Do not remember any incident.   
joy   ,   I felt this emotion when my name was announced on the radio that dI had been selected to come to Lilongwe School for Health dSciences to take a training course as a Medical Assistat.   
fear   ,   I felt the above condition when I took my brother's bicycle to a dmarket and unfortunately the bicycle was stolen and I didn't know dhow I could tell the owner about the stolen bicycle.   
danger   ,   I felt angry when my only pair of trousers was stolen and could dnot be able to find out who the thief was or anyone who knew dabout the story.   
sadness   ,   I felt sad when my dear friend was needed from training school ddue to his failure in a number of subjects and simply didn't know dwhat he had to do.   
disgust   ,   I felt the emotion when I entered a certain ward in the hospital to visit my relative who was sick.   
shame   ,   I felt the above condition when I was found in a house playing dwith another man's wife where I was asked questions and I was dunable to answer.   
guilt   ,   I felt the emotion when I fought somebody who was drunk and tried to disturb us while we were having meals.   
joy   ,   When I was at school   
fear   ,   I was living with my brother and one day he went away on business dand I was left alone to look after the house and the property.   
danger   ,   My young brother took my wristwatch in my abscence and sold it to dhis friend at a cheaper price.   
sadness   ,   I had a girlfriend who lived several kilometers away from my dhome.   
disgust   ,   One of my best friends was found lying flat on the road because he was drunk and was taken by the police and put in a cell.   
shame   ,   It was my father's birthday party when I was asked to bring a dtray of tea and other drinks.   
guilt   ,   One day I took my playmates to the river to swim and play.   
joy   ,   When I was accepted to study at this school I was very happy.   
fear   ,   I was moving in the graveyard at 6.   
danger   ,   There is a mad boy in our village.   
sadness   ,   It was last September when I felt very sad.   
disgust   ,   In Ward 1A was an epileptic patient who was burnt the whole body dand was stinking very much such that the whole ward was affected.   
shame   ,   An out-patient asked me to read for him a certain prescription dbut I was unable to do so.   
guilt   ,   It is some years ago when my mother found me stealing relish in dthe pot.   
joy   ,   It was in December last year that I was chosen to come to this dInstitution to study as a Medical Assistant.   
fear   ,   In March I was busy studying during the night I could only sleep dtwo or three hours only for fear that I would be weeded and sent dback.   
danger   ,   I once caught a letter in my girlfriend's handbag from a certain dman.   
sadness   ,   I was once nominated as an Officer Cadet in the Armed Forces and dmy name was cancelled on the list of nominees of those who were dsent to Kenya for Training.   
disgust   ,   The time I went to see one of my girlfriends at Area 18 I found dthat she was not there but in the room she was sleeping   
shame   ,   It was last week on Sunday that I was walking with my girlfriend dalong Kawale road going to town so I tried to stop a car for a dlift and the driver didn't stop and I felt shame because people dwere looking at us.   
guilt   ,   I was once called in court in Zemba Traditional court to answer a dcharge of impregnanting a young lady   
joy   ,   There was joy in me when I heard that I was to take a course as a dMedical Assistant.   
fear   ,   When I saw a dead body in the mortuary I became afraid and I was dfilled with fear.   
danger   ,   A certain Area Party Secretary came home in the morning and said dwe had to leave our home and build somewhere and the reason dbeing that they wanted to establish a market.   
sadness   ,   I was so sad when I heard that my Uncle had passed away.   
disgust   ,   I was disgusted with my girlfriend's behaviour.   
shame   ,   It was a shameful moment when I heard that I had failed my dPrimary School leaving Certificate Exam in 1978.   
guilt   ,   I took Pharmacology books from my friend's desk without dpermission and I was found guilty.   
joy   ,   When I was in Form 4   
fear   ,   I broke my Uncle's Radio player accidentally and so I feared that he was going to cut me off from going to his house as well as dplaying it again.   
danger   ,   It was in March 1985 when one of my fellow students borrowed my dwristwatch and after sometime he broke a glass of that watch I dgot angry when he was telling me but the anger didn't take long to fade.   
sadness   ,   When I was about to write my Junior Certificate Exams   
disgust   ,   I was disgusted with the behaviour of one of my fellow students dduring my Secondary School life.   
shame   ,   I remember when I was in Standard 6   
guilt   ,   Sometime back I came across a certain man who was badly beaten by dsome people because he was found raping the wife of the village dheadman.   
joy   ,   The joy came to me when I heard that I was going to start a dMedical course at the Lilongwe School for Health Sciences.   
fear   ,   The emotion came when I misbehaved at school and the Principal dthreatened me that I was going to be expelled.   
danger   ,   The emotion came when a certain boy opened my locker without my dknowledge.   
sadness   ,   The sadness came to me when I heard that my girlfriend whom I dloved so much got married to another man before a rebuff from dher.   
disgust   ,   The emotion came to me when a certain girl who was not polite to dher mother hit her sister severely.   
shame   ,   The shame came when I was beaten by my teacher at school in front dof boys and girls some of whom were my friends and a girlfriend dapart from being classmates.   
guilt   ,   It was when I discovered that the girl who I had proposed was a dfriend's girlfriend.   
joy   ,   When I was told that I was selected to attend Medical Assistant dTraining.   
fear   ,   When I was told to attend an operation in theatre.   
danger   ,   This situation happened when my friend John ate my banana which I dkept in the cupboard.   
sadness   ,   When I was told that my father had passed away.   
disgust   ,   This situation occurred when I entered into a smelling ward.   
shame   ,   This situation happened when I was found kissing a girl who was dmy friend's girlfriend.   
guilt   ,   This situation happened when my friend me with a knife which I dstole from him.   
joy   ,   When my father married a certain lady.   
fear   ,   At night when I was coming from Lingadzi Inn I heard a hyena dcrying in the Lingadzi jungle.   
danger   ,   I felt angry when I was told that I had not been selected to go to the University.   
sadness   ,   I felt sad when I was told to walk out of the classroom because I dwas within the row of students who were making noise.   
disgust   ,   I felt disgusted when a certain lady spoke words of sarcasm when dI was trying to propose to her.   
shame   ,   When I broke a tea saucer.   
guilt   ,   I felt guilty when I was given a prize which belonged to someone delse.   
joy   ,   My girlfriend who had been very far away from me came to my place.   
fear   ,   I was given a wristwatch by my first girl and after two days danother girl of mine also gave me a wristwatch.   
danger   ,   My girlfriend mentioned a certain girl's name who was my girl dsome time back and she is no longer mine that she said she was still mine.   
sadness   ,   I had been caught red-handed having stolen some paw-paw.   
disgust   ,   I was double crossing Mercy and Maria.   
shame   ,   I had a girlfriend in the same class I was.   
guilt   ,   Our Headmaster came to our hostel.   
joy   ,   This happened when I was selected to go to Secondary school to dstart Form I in October 1980.   
fear   ,   As I was taking venous blood from another patient I introduced dair into the place of puncturing and there was a swelling which is dangerous to the patient hence I became afraid.   
danger   ,   My lovely girlfriend double-crossed me and so that I found her dchatting with another guy.   
sadness   ,   I really became sad when mother passed away while I was very dyoung.   
disgust   ,   I was disgusted when my brother was arrested because of stealing dmoney.   
shame   ,   I was ashamed when my classmates discovered that I fell in love dwith an uneducated girl.   
guilt   ,   I felt guilty when I lost K43 for my friend when he was arrested.   
joy   ,   I felt joy when I passed my Malawi School Certificate of dEducation.   
fear   ,   When I had crossed Lilongwe forest I heard that there was a rabid dhyena just near the path in the forest.   
danger   ,   I was angry when I heard that my only girl was going about with danother man.   
sadness   ,   When I was not selected to go to the University of Malawi I felt dvery sad.   
disgust   ,   When I was presumed to have stolen maize from the school garden.   
shame   ,   I once proposed my own niece whom I did not know but I discovered dafter she was my girlfriend.   
guilt   ,   A certain colleague of mine sent me to buy a bag of flour for him   
joy   ,   When I married my wife and took her home for the first time.   
fear   ,   When my friend was involved in a car accident.   
danger   ,   When I was charmed by my relatives.   
sadness   ,   When my mother died in August 1978.   
disgust   ,   When I entered the wound intensive care at the Central Hospital din Blantyre which was stinking.   
shame   ,   When I first failed my standard 8 exams for the first attempt for form I selection.   
guilt   ,   When I had beaten my auntie.   
joy   ,   My friend took me to Civo Stadium to watch and listen to the dmusic of the International singer Sam Mangwana.   
fear   ,   I had fear when I was left alone at the bus depot at night.   
danger   ,   I felt angry when I heard that my sister had failed the dExaminations which we hoped she was going to pass with ddistinctions.   
sadness   ,   I felt sad when I heard that my girlfriend was double-crossing me dwith the boy who is my best friend.   
disgust   ,   I felt disgust when I saw a friend walking in stagnant water dwithout putting on gum boots.   
shame   ,   I experienced shame when I failed to keep a promise to meet my dfriend at the bus depot.   
guilt   ,   I felt guilty of revealing a secret to my in-law.   
joy   ,   The joy came when I first proposed a girl at Secondary School.   
fear   ,   As I was in a ward one man died and I was instructed to watch the dlast offices.   
danger   ,   I was very angry when I heard that my brother was beaten by his friends.   
sadness   ,   I was very sad when I heard about the death of my teacher who dtaught me in Standard 8.   
disgust   ,   I was disgusted to see a person vomitting and I was told to clean dthe place where the vomit was.   
shame   ,   I was ashamed when a certain friend of mine I used to move with dfailed to propose to a lady yet we always said to ourselves no dlady can refuse our proposal.   
guilt   ,   I felt guilty when one of my secondary teacher left me while I dwas in Form three   
joy   ,   My sister gave birth to twins   
fear   ,   I was looking after my father's sheen in the forest.   
danger   ,   I planned to travel a distance of 20 kilometres on my bike.   
sadness   ,   It was in the evening when I heard that my girl went to Zambia dand that she would never come back.   
disgust   ,   A sister broke a cup and when mother asked I was reported to have dbeen responsible.   
shame   ,   One day mother slaughtered a chicken for a brother who had come dback for holiday.   
joy   ,   This emotion happened when I passed my primary school examination dand was selected for Secondary School.   
fear   ,   At primary school I was accused by some boys of being in love dwith a certain girl in their class so they had to shout and beat dthe girl and the matter was reported to the headmaster.   
danger   ,   I was very angry when one day I went to see my girlfriend I dtalked to her and could not answer back.   
sadness   ,   I was very sad when I was shouted at by Uncle and was told that I dwas not to be given school fees because I didn't go to work in dthe garden since I had gone to escort my sister to the bus depot.   
disgust   ,   I was disgusted when I was told to dress a big rotten stinky dwound which   
shame   ,   I was ashamed one day when we were found stealing and roasting dmaize cobs from Agricultural experimental projects.   
guilt   ,   I felt guilty when the truth was known about my impregnating the dgirl we were staying with.   
joy   ,   It was August 30th when I heard on the radio that I passed my dM.   
fear   ,   I was walking alone along the place where people fear that there dare always thieves there and the people who kill their friends dduring the night two months ago.   
danger   ,   I once was accused of falling in love with someone's girlfriend dwhich was not true because the girl was just a friend of mine.   
sadness   ,   It was when I failed standard 8 exams while all my friends dpassed and went to secondary school.   
disgust   ,   My first day to work in hospital   
shame   ,   One day I was with my girlfriend and other friends were behind dus   
guilt   ,   I felt guilty one day when I was accused of running away from dclasses and I was caught.   
joy   ,   It was when I was allowed to take my wife away from her parents dafter being refused for three times on grounds that she should dfirst write her examination.   
fear   ,   When two hyenas made crying noise on the window of my bedroom at dhome when I was preparing for my MCE examination during the dnight.   
danger   ,   It was when my Instructor awoke me late at night to get prepared for the training at Military college when he was coming back from dhis personal social activities.   
sadness   ,   I slept in a tent at the Barracks which caught fire at night and dmy best possessions got burnt in there.   
disgust   ,   It was when my father beat my mother while she was ill for three weeks and now she was recovering.   
shame   ,   When parents of a certain girl refused to let me marry their ddaughter because I was not fit to do so yet the girl accepted deverything and later she followed what her parents insisted and she told me never to talk to her again.   
guilt   ,   The time I was at secondary school during the holiday I appeared to my father while heavily drunk and I talked nonsense like in dsome sort of carefree.   
joy   ,   This came in when at one time I met a girl who I didn't expect to dfall in love with me.   
fear   ,   When I was travelling at night.   
danger   ,   I experienced this when one of my friends reported to the dHeadmaster that I had gone out for beer   
sadness   ,   When I was at school.   
disgust   ,   One of those days when I was going to school with my brother and he annoyed me.   
shame   ,   This was when one of the Clinical officers scolded us in the dhospital on how to make beds but we did not deserve to be dscolded.   
guilt   ,   NO RESPONSE.   
joy   ,   That was soon after the results of the interview which nearly d9   
fear   ,   Fear came towards the end of May when the P.   
danger   ,   I was once this week angry when soemone trying to compress my dmind due to his nonsense speech which himself could not tolerate dat all.   
sadness   ,   This condition accumulated in my mind when funeral news was dbrought to my awareness   
disgust   ,   A condition in which I was disgusted followed when I lost money don my way home from the college.   
shame   ,   I was very ashamed when I was neglected by a certain friend whom dI was thinking loved me very much.   
guilt   ,   I once felt guilty when a certain passenger in the same ship   
joy   ,   It was when I was selected to go to a Secondary school to start form I.   
fear   ,   It was when I stepped on a python snake unknowingly while it dwas sleeping near a baobab tree.   
danger   ,   It was when my friend had stolen my money K10 and had ddisappeared.   
sadness   ,   It was when my father was taken into detention by the CIDS for dtwo years for a reason I don't know up to now.   
disgust   ,   It was when I drunk urine during my childhood thinking it was dwater.   
shame   ,   It was when my father caught me with a girl in dark corners and dasked me what I was doing there.   
guilt   ,   It was when I injured a friend accidentally with a stone.   
joy   ,   Time had struck 8 o'clock when I heard from the radio that I had dbeen selected to Robert Blake Secondary School for Form I.   
fear   ,   My brother had bowel obstruction   
danger   ,   I felt very angry after one driver had run over my beloved niece.   
sadness   ,   I was away to school Primary.   
disgust   ,   I felt disgusted when I went to one of the Central hospitals dwhere my hope of getting good treatment was turned down by one of dthe doctors who said I was alright despite my feeling pain.   
shame   ,   I was in my room   
guilt   ,   I felt guilty after hearing that my girlfriend with whom I had dspent most of my time was pregnant.   
joy   ,   When I heard that I had passed Primary School Leaving Certificate dand was selected to go for Secondary education.   
fear   ,   When I heard that there is teasing and bulling at Secondary school.   
danger   ,   When I heard that I was not to be provided with another pair of dmedical uniform.   
sadness   ,   When I heard that my father had passed away.   
disgust   ,   When I vomitted a lump of blood.   
shame   ,   When a certain girl I believed to be my life partner refused an dengagement.   
guilt   ,   When I didn't notify someone that he was summoned by a headmaster dand as a result he ended being on a heavy punishment.   
joy   ,   I met my girlfriend on the way and she joyfully welcomed me on dthe way home.   
fear   ,   One time I set up my journey at night going to a certain bar.   
danger   ,   An incident occurred to me when I was going home with my dgirlfriend.   
 On the way   ,    a man named Banda grabbed my girlfriend din my presence.   
sadness   ,   When I found my baby whipped by my Auntie.   
disgust   ,   I was really disgusted when I saw one of my friends soiling on dhis clothes.   
shame   ,   One day I went for a bath.   
guilt   ,   One day I took a packet of sweets from a certain Grocery at dNathenje.   
joy   ,   I felt happy when I saw my brother at the bus depot after 3 dmonths without seing each other.   
fear   ,   When we were going to Nkhoma last Saturday the vehicle was moving dvery fast   
danger   ,   When they put the blame on me when I scored the third goal at the dmatch.   
sadness   ,   I felt very sad when I lost my three Kwacha at civo Stadium when dSam Mangwana was playing some Rumba records.   
disgust   ,   In ward 2A there was a patient suffering from Syphilitic dParaplegia and had pressure sores.   
shame   ,   It was when we were beaten or lost the football match by 5-1 and dthen I scored the third goal to my own side.   
guilt   ,   When I scored the third goal to my own side at a football match dagainst William Murray Secondary School and we were badly ddefeated.   
joy   ,   On December the 28th I was filled with Joy when I was told by my dbosses that I had been selected to attend a course at the dLilongwe School for Health Scienced in Lilongwe.   
fear   ,   It was last week on Saturday night when I was at Mchesi.   
danger   ,   It was at Malawi Army   
sadness   ,   It was mid May 1985   
disgust   ,   In May somebody blamed me that I made him to be caught while dpeeping during the Nursing Test which made me feel disgusted.   
shame   ,   In our class we had a test on Nursing   
guilt   ,   It was on January 1st 1985 when I accidentally broke a Fanta dbottle in a certain bottle store in Zomba.   
joy   ,   I felt joy when I heard over the radio that I had been successful din my Primary School Leaving Certificate Examination and was dselected for Secondary School.   
fear   ,   One day I was busy day dreaming along the road and suddenly I dheard the sound of jamming car braked behind me.   
danger   ,   When I was doing my last year at Secondary School I was robbed of dmy clothes   
sadness   ,   It was on 9th January 1983 when I received a message from home dtelling me that my father passed away on the previous day with a dhistory of cancer of the oesophagus.   
disgust   ,   I was stopped from entering a party while I was at School but I dhad an Invitation card with me.   
shame   ,   In 1972 I failed my Examination because of my own crooky dbehaviour of dodging from Examinations.   
guilt   ,   A child was admitted in hospital with Meningitis.   
joy   ,   When I had an anticipatory honey-moon with my fiancTe.   
fear   ,   When it was found that I had gone out of the school premises dwithout permisssion and at the wrong time.   
danger   ,   When a classmate hit me on my occipital region when I was busy dstudying and concentrating on my classnotes.   
sadness   ,   When my father died.   
disgust   ,   When somebody made me touch human faeces.   
shame   ,   Soiled my short trousers with faeces.   
guilt   ,   When a crawling child got burnt because of my negligence to keep dthe child away from the fire.   
joy   ,   When I heard my name being announced on the radio that I had been dsuccessful in an interview for admittance for a medical Assistant dtraining course.   
fear   ,   One time I was injured when I was playing football at School in dBlantyre.   
danger   ,   One day I was really angry when all my food was eaten by a dog.   
sadness   ,   One day I came across a certain boy who was intruding my dfriendship as lovers with my girlfriend and I was very sad dbecause I didn't expect that girl to disappoint me I regarded her das being very faithful.   
